T [r = 1.1 + s = 0.25],P(t)(N=100)[r = 1.1 + s = 0.25],P(t) (N=1000)[r = 1.1 + s = 0.25],P(t) (N=10000)[r = 1.1 + s = 0.25],T [r = -1.0 + s = -0.5],P(t)(N=100)[r = -1.0 + s = -0.5],P(t) (N=1000)[r = -1.0 + s = -0.5],P(t) (N=10000)[r = -1.0 + s = -0.5],T [r = -1.0 + s = -1.0],P(t)(N=100) [r = -1.0 + s = -1.0],P(t) (N=1000) [r = -1.0 + s = -1.0],P(t) (N=10000) [r = -1.0 + s = -1.0]
802.6900000000001,0.0003406242433951357,0.7731847760418898,0.9929270977078958,31.86,0.001706594136979789,0.1333194235939228,0.5287709050096971,16.3,6.927419666551487e-15,6.950014635299542e-15,6.950239148824367e-15
809.75,0.0003175823743986971,0.7714596170344783,0.9928674400131736,31.99,0.001662786032037514,0.1322277734041067,0.5273978863269709,16.35,6.268125228575594e-15,6.288632668425674e-15,6.288836439865371e-15
816.87,0.0002959229910721551,0.7697236950428379,0.9928072789427621,32.12,0.00162010247687368,0.1311450618978282,0.5260284328561072,16.4,5.671576975596217e-15,5.690189577087976e-15,5.690374521007391e-15
824.0500000000001,0.0002755767061049645,0.76797710011874,0.9927466145886009,32.25,0.001578514604405229,0.1300712158830848,0.5246625353395951,16.45,5.131803245325898e-15,5.148695929683964e-15,5.148863784096682e-15
831.3000000000001,0.0002564511761607495,0.7662174984595606,0.9926853625604419,32.39,0.00153492076898752,0.1289245977388387,0.5231955349702664,16.5,4.643400708842315e-15,4.658732264929308e-15,4.658884607561629e-15
838.61,0.0002385109739245204,0.7644474163678229,0.9926236074452129,32.52,0.00149551950264725,0.1278689333967675,0.5218369934215025,16.55,4.201480281325178e-15,4.215394851959258e-15,4.215533115017656e-15
845.98,0.0002216937841633293,0.7626669451815692,0.9925613493372774,32.66,0.001454217742827967,0.1267417290562628,0.5203778935039084,16.6,3.801618180560923e-15,3.814246612043555e-15,3.814372095622999e-15
853.4200000000001,0.0002059193036387544,0.7608737692670798,0.9924985038647127,32.79,0.001416888115293051,0.125703938546432,0.5190266683077235,16.65,3.4398116432937e-15,3.451272710722153e-15,3.451386594980253e-15
860.9200000000001,0.0001911534256686902,0.7590703994675009,0.9924351556012374,32.93,0.001377757918378169,0.1245958193075829,0.5175754262944052,16.7,3.112438856127594e-15,3.122840375912092e-15,3.122943732122672e-15
868.49,0.0001773231769277373,0.757254532430729,0.9923712201874186,33.07,0.001339708380051692,0.1234974684838025,0.5161282420752425,16.75,2.816222699873509e-15,2.825662539830479e-15,2.825756340419471e-15
876.13,0.0001643793713439675,0.755426278389591,0.9923066977372571,33.2,0.001305318196683773,0.1224862427278107,0.5147880516216112,16.8,2.548197944408919e-15,2.556764940849474e-15,2.556850068506833e-15
883.83,0.0001522897266141964,0.7535881324260998,0.9922416728109813,33.34,0.001269269226040632,0.1214064884764282,0.5133486611353703,16.85,2.30568156565938e-15,2.313456356026559e-15,2.313533611979079e-15
891.61,0.0001409773055613167,0.7517354314301835,0.9921759766287127,33.48,0.001234215819764657,0.1203362525939451,0.511913295305423,16.9,2.086245887563743e-15,2.093301666386866e-15,2.093371777909012e-15
899.4400000000001,0.0001304404749450776,0.7498754224714753,0.9921098626262319,33.62,0.00120013048335624,0.1192754511729848,0.5104819428784934,16.95,1.887694280164799e-15,1.894097485385077e-15,1.894161112618232e-15
907.35,0.000120595428218981,0.7480010825177316,0.9920430776027499,33.76,0.001166986481631329,0.1182240010458404,0.5090545926327709,17,1.708039170554409e-15,1.713850106628179e-15,1.71390784877155e-15
915.33,0.0001114160378404988,0.7461149028016983,0.9919757061169248,33.9,0.001134757817751405,0.1171818197779542,0.5076312333778217,17.05,1.545482146554727e-15,1.55075555015177e-15,1.550807951083078e-15
923.38,0.000102863896100964,0.7442169966207963,0.9919077482888531,34.04,0.001103419212832605,0.1161488256614545,0.5062118539545014,17.1,1.398395953966397e-15,1.403181507546068e-15,1.403229060924314e-15
931.5,9.490227489289029e-05,0.74230747776364,0.9918392042396712,34.18,0.001072946086117958,0.11512493770875,0.5047964432348678,17.15,1.265308207169482e-15,1.269651005231965e-15,1.26969415912998e-15
939.6900000000001,8.749609482369923e-05,0.740386460498721,0.9917700740915545,34.32,0.001043314535697222,0.1141100756461803,0.503384990122093,17.21,1.12221410899383e-15,1.126079288774328e-15,1.126117696761336e-15
947.95,8.061189121154684e-05,0.7384540595630663,0.9917003579677177,34.47,0.001012473945736963,0.1130326490293939,0.5018770980905403,17.26,1.015411063142558e-15,1.018918574164791e-15,1.018953428123098e-15
956.29,7.421041451249769e-05,0.736508059891393,0.99162997159928,34.61,0.0009845124543247229,0.1120362311410133,0.5004738077111731,17.31,9.187726467605615e-16,9.219555595485739e-16,9.219871880797295e-16
964.6900000000001,6.827663123160245e-05,0.7345532438275514,0.9915590839038333,34.75,0.0009573231753780844,0.1110485969856233,0.4990744410491788,17.36,8.313314745881283e-16,8.342198045405916e-16,8.342485058899792e-16
973.1800000000001,6.276124247417034e-05,0.7325827553489231,0.9914874418465754,34.9,0.0009290245075256728,0.1100000768311009,0.4975794612870147,17.41,7.522122290836772e-16,7.548332184563151e-16,7.54859263314929e-16
981.73,5.765705564361704e-05,0.7306036832577494,0.9914152987163035,35.04,0.0009033676391209924,0.1090303920080084,0.4961881874599137,17.47,6.671443144463323e-16,6.694769273444783e-16,6.695001066758036e-16
